t sigma_z_10 sigma_z_20 sigma_z_30 sigma_z_40
11.963927855711422 0.13971405112953647 -0.06861565850435271 -0.1411434738787285 -0.12412943705170192
12.024048096192384 0.13889627071662813 -0.06816208374222109 -0.14274359557519944 -0.12543213315190083
12.084168336673347 0.13809497043494354 -0.0677209269609388 -0.14439991555963175 -0.12661010781566254
12.144288577154308 0.1371523485206177 -0.06759750529712007 -0.1453684116103795 -0.12763632377202133
12.20440881763527 0.1363599431106953 -0.06732113781371964 -0.1460262382761885 -0.12891915406941407
12.264529058116231 0.1358590943992401 -0.06678112924384207 -0.14632415285047126 -0.13039979875136146
12.324649298597194 0.13575202873895206 -0.06638465692917044 -0.14659373655529212 -0.13160008312608712
12.384769539078157 0.13564589128827634 -0.06608798876668509 -0.1469842090390529 -0.13286262126244122
12.444889779559118 0.13593456879437057 -0.06588213418504801 -0.14759013008750532 -0.13437772240955045
12.50501002004008 0.13635621013300186 -0.06555609661255972 -0.1479507883005713 -0.1358440498208595
12.565130260521041 0.1368036230847386 -0.06534792852020894 -0.1482524046952392 -0.137144594599968
12.625250501002004 0.1368528008444682 -0.06539581866540457 -0.1481513045358055 -0.13866378001122442
12.685370741482965 0.13671075785557393 -0.06534875804609926 -0.14832141448803443 -0.14037490308852849
12.745490981963927 0.13662729542486035 -0.06529410853319564 -0.148636192566401 -0.14224719409267153
12.80561122244489 0.13682444176699732 -0.06526626311475463 -0.14971817866528206 -0.14399995916974348
12.86573146292585 0.13731790032737226 -0.06565496282101992 -0.15078260167636898 -0.14607948940902768
12.925851703406813 0.1380532729769879 -0.06628596932606985 -0.15193167621348874 -0.14782361526823187
12.985971943887774 0.13848693470404172 -0.0671139048162822 -0.15316360726877798 -0.14945074739085631
13.046092184368737 0.1387125859503586 -0.06782422249509176 -0.154290368577741 -0.15099768664408403
13.1062124248497 0.13866132864618863 -0.06852343028157466 -0.1553100101706343 -0.15216310864649144
13.16633266533066 0.1378974250552306 -0.06933626671194329 -0.15626039834216923 -0.1533281035861883
13.226452905811623 0.1368745962227723 -0.07030305075533343 -0.15711085028304556 -0.15435224928649285
13.286573146292584 0.13608148343402435 -0.07093983139492027 -0.15777135448570617 -0.1550839071150022
13.346693386773547 0.13550257435516425 -0.07139635895633148 -0.1586965706468594 -0.15533641525407849
13.40681362725451 0.13512506170697702 -0.07136784581593078 -0.15941220728614744 -0.1558837992884211
13.46693386773547 0.13484615354300467 -0.07181436474571964 -0.16019870054915356 -0.15645800540599342
13.527054108216433 0.1346436607053402 -0.07240853743317159 -0.16136796633105943 -0.15728897689872914
13.587174348697394 0.13460805733278927 -0.0729183102100205 -0.16271677593104414 -0.1583627832420375
13.647294589178356 0.13463004369510376 -0.07365851348827732 -0.16428250886723803 -0.15951667118965007
13.707414829659317 0.13445181679592982 -0.0744866160861815 -0.16616796038503043 -0.16064529435424474
13.76753507014028 0.13465696615242329 -0.07552277842578885 -0.1679962090293417 -0.16191808683365874
13.827655310621243 0.13455878337662625 -0.07639140698544077 -0.17006316517220663 -0.16343537076638387
13.887775551102203 0.13461450798927999 -0.07707668569516814 -0.17223424789582756 -0.16568109658733465
13.947895791583166 0.13430622234180342 -0.07758563624496234 -0.17457521546382113 -0.16787709168763734
14.008016032064127 0.1342610587629514 -0.07821249043737534 -0.17720447177762924 -0.17007966138915936
14.06813627254509 0.1340643938275281 -0.07867388277895991 -0.17957423236822156 -0.17205247626722975
14.128256513026052 0.13399540996816295 -0.07913978591801123 -0.1818317464913549 -0.17392798227924647
14.188376753507013 0.13364874558725567 -0.07934786567607924 -0.18377656967163786 -0.17568145795167434
14.248496993987976 0.13290271849985982 -0.07958955917697334 -0.18564837635077103 -0.1774166378979325
14.308617234468937 0.13178103629726828 -0.07987695445258104 -0.18722057268981981 -0.17899922548994363
14.3687374749499 0.1309873266920017 -0.08047108412364005 -0.1885874945170849 -0.18041010794484136
14.428857715430862 0.1303104553433833 -0.08104072580632325 -0.18982338597595214 -0.1817364845029823
14.488977955911823 0.12955943982411144 -0.08178909026388302 -0.19092097773533312 -0.1827520594717829
14.549098196392785 0.12890033387319394 -0.08333016421785992 -0.1922076117643045 -0.1835501145206503
14.609218436873746 0.12842511327638625 -0.08500128593535167 -0.19330140846989258 -0.1842552694127474
14.669338677354709 0.12794849446187898 -0.08615826472519526 -0.19454403937671308 -0.1849441977864463
14.729458917835672 0.1274367775802784 -0.08711389239408825 -0.1955209203386614 -0.18530801388626592
14.789579158316633 0.12689247717948227 -0.0879555440336001 -0.19660791750168077 -0.18581620939665047
14.849699398797595 0.126454974282992 -0.08854093756457246 -0.19761099012323033 -0.18634791688011346
14.909819639278556 0.12579900503250027 -0.08914052296923188 -0.19871769981995954 -0.1871404414344336
14.969939879759519 0.12527312432221327 -0.08970501470472934 -0.19987724536447435 -0.18800078118781283
15.03006012024048 0.12486781389085481 -0.09032753495132859 -0.2009330098469745 -0.18877766118690287
15.090180360721442 0.1249240428108108 -0.09123104917579403 -0.20183442864110143 -0.18965789543961237
15.150300601202405 0.12502675052692988 -0.0923782895273493 -0.20298324502980086 -0.1905584387971105
15.210420841683366 0.12485547331539971 -0.09381807585251924 -0.20381025434547395 -0.19147744227812546
15.270541082164328 0.12459138377577825 -0.09512314968697938 -0.2044360567603099 -0.19276800471881347
15.33066132264529 0.12458670793097831 -0.0961868789515868 -0.2054301046082192 -0.19411754164467437
15.390781563126252 0.12426225865430401 -0.09718474530866726 -0.20623369464157976 -0.19569465682173276
15.450901803607215 0.12372497244493606 -0.09829089732903223 -0.20675886663895052 -0.1971576604139841
15.511022044088175 0.1236646498118266 -0.09964947846967702 -0.20761642928441235 -0.1984834961193011
15.571142284569138 0.12380547703118959 -0.10115106828281761 -0.20868043823460544 -0.2000696497957805
15.631262525050099 0.1242657635267298 -0.10260660216328424 -0.20975832780587844 -0.2015927896866454
15.691382765531062 0.12499554493290632 -0.1036050191944022 -0.21129838815938157 -0.2033157850703388
15.751503006012024 0.12554714470111908 -0.10419590969530464 -0.213071923795152 -0.20503325367684377
15.811623246492985 0.1256624740115378 -0.10453223655987244 -0.21469311876998853 -0.20685280401464198
15.871743486973948 0.1256051401748467 -0.10474707221726826 -0.2162222427118194 -0.20873749475433181
15.931863727454909 0.1259844960269828 -0.1047914355373564 -0.21764523222611964 -0.21061891138922534
15.991983967935871 0.12610114626982072 -0.10465281167379255 -0.21895519739008237 -0.21245177312708444
16.052104208416832 0.12582889423108348 -0.10476247119314684 -0.22014966657994245 -0.2139993620980015
16.112224448897795 0.12570176754606868 -0.1046487708820257 -0.22093564286305642 -0.21561551341816107
16.172344689378757 0.12554913776729604 -0.10439873037212821 -0.2218722636517402 -0.21710760545134072
16.23246492985972 0.12545906622608854 -0.103693748445191 -0.22271881032076882 -0.21845808330556774
16.29258517034068 0.12551623042847113 -0.10297896950312725 -0.22344390939438094 -0.21937111402579204
16.352705410821642 0.12526627526857265 -0.10255871838355259 -0.22404073441445427 -0.22043535820422358
16.412825651302605 0.12527783802682124 -0.10195578248486784 -0.22484251478647876 -0.22111319086891945
16.472945891783567 0.12520152055266218 -0.10145838278294547 -0.22566367852781322 -0.2218357039620028
16.53306613226453 0.1253648807566058 -0.10124271027818924 -0.22660719760490766 -0.22275479118531735
16.59318637274549 0.12525009664871098 -0.10103681642098838 -0.22765047989629142 -0.22357349635456153
16.65330661322645 0.125548740010619 -0.10088138786920238 -0.2286281848188254 -0.22451264989430414
16.713426853707414 0.1260873217147415 -0.10086218923881872 -0.22943742463058533 -0.22545402197967268
16.773547094188377 0.12670675609694887 -0.10103147091730548 -0.2303273916761799 -0.22627496431233377
16.83366733466934 0.1274378547311571 -0.10166707509602188 -0.23090367108516302 -0.22747395225586123
16.8937875751503 0.12803370322621446 -0.1023925792811918 -0.23180613752397686 -0.22880138505092865
16.95390781563126 0.12847766476498113 -0.10324883587384993 -0.23297242523451606 -0.23002029606440397
17.014028056112224 0.12875201335961864 -0.10475969105695049 -0.23394802460511618 -0.23130205592799222
17.074148296593187 0.12878577724832618 -0.1060992955202184 -0.2349645100176524 -0.23266419282796555
17.13426853707415 0.12845645670479236 -0.10756387254143238 -0.2359198744655601 -0.23382177938146778
17.19438877755511 0.12788309459430175 -0.10923986390309455 -0.23671865086660424 -0.23467526987518203
17.25450901803607 0.12727415354579674 -0.1109182948022772 -0.23711728718643654 -0.23583263488962142
17.314629258517034 0.12678002258443485 -0.11255266033907844 -0.23770138701214055 -0.23721195069069076
17.374749498997996 0.12681916583636693 -0.11439750032217505 -0.2384793358092748 -0.23835513565936536
17.43486973947896 0.12740674164723778 -0.11605149960039189 -0.23945027319298343 -0.23914206508556318
17.494989979959918 0.12789751908663205 -0.11772531501735116 -0.24027374269419943 -0.23999428392359531
17.55511022044088 0.12830649841850517 -0.11915381506381213 -0.2411813968717614 -0.2405334821704697
17.615230460921843 0.12867289398907636 -0.12064681912030097 -0.24234782981240233 -0.24103962653075892
17.675350701402806 0.12874095392836138 -0.12204999076370328 -0.2432450516484738 -0.24140599546921582
17.73547094188377 0.12881586380270343 -0.12298000797503951 -0.24418687148955828 -0.2417118604952362
17.795591182364728 0.12875925417182452 -0.12400435895446185 -0.24511956995925685 -0.24200096737811413
