t sigma_zs_1em3 max_bond_dim_1em3 sigma_zs_1em4 max_bond_dim_1em4 sigma_zs_1em5 max_bond_dim_1em5 
5.603735823882588 -0.5140299751648069 3.0762 -0.5225046646963216 4.0005 -0.530516654996764 5.9997 
5.62374916611074 -0.516604272032883 3.0763 -0.5257168212036606 4.0005 -0.5337203529040998 5.9997 
5.6437625083388925 -0.5186572082929423 3.0767 -0.528469751395161 4.0005 -0.5361734100543158 5.9997 
5.663775850567045 -0.5205072870340725 3.0772 -0.5309382757221249 4.0005 -0.537755351037161 5.9998 
5.683789192795197 -0.5220484036077634 3.0784 -0.5327593330179705 4.0005 -0.5386102092344814 5.9998 
5.703802535023349 -0.5229077083871818 3.0795 -0.5337980285283312 4.0005 -0.539271247316524 5.9998 
5.723815877251501 -0.5233565964683572 3.0806 -0.5342553150287462 4.0005 -0.5392990187841249 5.9998 
5.743829219479653 -0.5231044975339799 3.0812 -0.5339333551034109 4.0005 -0.5388238022046778 5.9998 
5.763842561707805 -0.5226509187883772 3.0815 -0.5330992121249429 4.0005 -0.5375362929432622 5.9998 
5.783855903935957 -0.5219117081921317 3.082 -0.5318937897456709 4.0005 -0.5357958810266481 5.9998 
5.803869246164109 -0.5204767341655311 3.0828 -0.5305049475716022 4.0005 -0.5338206239463402 5.9998 
5.823882588392261 -0.518613865324435 3.0829 -0.5285928318491663 4.0005 -0.5313509216501585 5.9998 
5.8438959306204135 -0.5162692930440621 3.0839 -0.5263140720508895 4.0005 -0.5281865656546324 5.9998 
5.863909272848566 -0.5128343854711492 3.0845 -0.523708707341431 4.0005 -0.5250363868419093 5.9998 
5.883922615076718 -0.5089786419663409 3.085 -0.520446452595185 4.0005 -0.5211940608431825 5.9998 
5.90393595730487 -0.5049871199784198 3.0856 -0.5164993108031056 4.0005 -0.5170015196794728 5.9998 
5.923949299533022 -0.5005272345645667 3.0861 -0.5122390581180929 4.0005 -0.5120547001044096 5.9998 
5.943962641761174 -0.49597218389164066 3.0869 -0.5074685642054771 4.0005 -0.5064464187449563 5.9998 
5.963975983989326 -0.4908666162796598 3.0872 -0.5019307552759771 4.0005 -0.5009717368783612 5.9999 
5.983989326217478 -0.48567736618648405 3.0878 -0.49579320465590015 4.0005 -0.49536320307335174 5.9999 
6.00400266844563 -0.4800251873334765 3.0888 -0.48940600346860574 4.0005 -0.48870778223012024 6.0 
6.024016010673782 -0.47400914573508496 3.0888 -0.48279440276784624 4.0005 -0.48166190521763164 6.0 
6.044029352901934 -0.4674856353568812 3.0891 -0.47621431189933744 4.0005 -0.4744967900209894 6.0 
6.0640426951300865 -0.46060146049276707 3.0898 -0.46935631925596516 4.0005 -0.46717144087043355 6.0 
6.084056037358239 -0.45363820255192916 3.0901 -0.46200139010948416 4.0005 -0.4596965074560985 6.0 
6.104069379586391 -0.44647240036719693 3.0903 -0.4541573496349162 4.0005 -0.45190126604085756 6.0 
