t sigma_z_100 sigma_z_1000 sigma_z_10000
19.973315543695797 -0.667777429080676 -0.6702814572039897 -0.6706123019306822
19.993328885923948 -0.667296784528678 -0.6686114478967873 -0.6688670997789621
20.0133422281521 -0.6654255285349084 -0.6679188262489577 -0.6675600174037034
20.03335557038025 -0.6693792108737392 -0.6665689411429112 -0.6659955683472932
20.053368912608406 -0.6739068070112714 -0.6652313859393176 -0.6644484306763769
20.073382254836556 -0.6754615598872141 -0.6632376362862736 -0.663337731547314
20.09339559706471 -0.6760998077364587 -0.662855197718728 -0.662531846215368
20.11340893929286 -0.6778868744466532 -0.6631417490182603 -0.6617316009576365
20.133422281521014 -0.6770788840886638 -0.6628757093838881 -0.6609267191927963
20.153435623749164 -0.6751827450744381 -0.6620232237405042 -0.6603180918239155
20.173448965977318 -0.6760584733601724 -0.660842732244823 -0.6594634396766484
20.19346230820547 -0.6756633679947623 -0.6592066295517454 -0.6588629387186627
20.213475650433622 -0.6792347326677632 -0.6576657129222329 -0.6582915326441121
20.233488992661773 -0.6824786885977911 -0.6571135836554877 -0.6580334832488465
20.253502334889927 -0.6812894706093431 -0.6581112622941364 -0.6577088454286988
20.273515677118077 -0.6810548416549566 -0.6577230798163476 -0.657312960781664
20.29352901934623 -0.6793863550410486 -0.6579766940253687 -0.6571489966684422
20.31354236157438 -0.6775281990675492 -0.658339407578826 -0.6567078354481352
20.333555703802535 -0.6764279842300698 -0.6594283870666406 -0.6562509114695461
20.353569046030685 -0.6721782242780284 -0.6608303657678811 -0.656216780696894
20.37358238825884 -0.6704353780065793 -0.6608603295522593 -0.6563671335861139
20.39359573048699 -0.669939447642634 -0.6605795061341007 -0.6563034937389358
20.413609072715143 -0.665508105711391 -0.6616275800524173 -0.6566835944310636
20.433622414943294 -0.662748934546315 -0.6621293954491423 -0.657262093947255
20.453635757171448 -0.6614925417017434 -0.6628633461865611 -0.6578645126838235
20.473649099399598 -0.6613639153684115 -0.6635321931467496 -0.6585158094274687
20.49366244162775 -0.660951573935325 -0.6636537897917767 -0.6591629920218868
20.513675783855906 -0.6565156601557596 -0.6650244704856131 -0.6600442964434419
20.533689126084056 -0.6557113695677677 -0.6658099421081087 -0.6608843748334939
20.55370246831221 -0.6590836439040195 -0.6669515295310202 -0.6620854957459785
20.57371581054036 -0.6631760656138916 -0.6674955965267438 -0.6629703781046564
20.593729152768514 -0.6622465948195237 -0.6687748449527712 -0.6642007702829594
20.613742494996664 -0.6647158393588052 -0.6704341408657178 -0.6655311575415412
20.633755837224818 -0.6653255009613026 -0.6720939512573256 -0.6672654088821076
20.65376917945297 -0.665754440307889 -0.6737590341909016 -0.6687983608709612
20.673782521681122 -0.663835462531308 -0.6753966060304735 -0.6703910761054662
20.693795863909273 -0.662778357426383 -0.6767379295404768 -0.6720921496391248
20.713809206137427 -0.6672518902714435 -0.6780415784142029 -0.6736468672719919
20.733822548365577 -0.6727445897166647 -0.6794115837957122 -0.6753414672535849
20.75383589059373 -0.674635961074988 -0.6803801175872987 -0.6770062555615605
20.77384923282188 -0.6753084025255172 -0.6812883081535133 -0.6786499949926802
20.793862575050035 -0.678142887680737 -0.6819539283685113 -0.6800088780431033
20.813875917278185 -0.681297794871434 -0.6826828421918637 -0.6815257567796196
20.83388925950634 -0.6824071976437277 -0.6840885959516112 -0.6831981833652637
20.85390260173449 -0.6828046855068108 -0.6844984931837079 -0.6846194787798177
20.873915943962643 -0.6860231208059601 -0.6840873611188589 -0.6861541107383308
20.893929286190794 -0.6866873180552281 -0.685237739278099 -0.6875831328108812
20.913942628418948 -0.6876774073723669 -0.6860912325849454 -0.6888104886783998
20.933955970647098 -0.6904246607501299 -0.6880643483275144 -0.6902296851839496
20.95396931287525 -0.6937039335427658 -0.689117771905571 -0.6917424781847632
20.973982655103402 -0.6963035495639209 -0.6904324565560754 -0.6936804370146042
